Brand,Model,Size,Smart,Seller,Price
Next,YE-40020D2,40,0,DALOGLUDİGİTAL,2702.0
Navigold,NG-1930,19,0,naviprime,1377.5
TCL,55C728,55,1,Comfor,14399.04
Vestel,32FA9500,32,1,OrhanMob-Vestel-YOB,3087.04
Woon,WN49DAL08/0202,49,0,DijiSepet,4052.04
Philips,32PFS6805/62,32,1,BulpaAS,3823.33
LG,NanoCell,50,1,ELECTROPLUS,10389.99
Philips,43PUS7805/62,43,1,MyElektronik2021,5899.0
Samsung,UE32T5300,32,1,EPATeknoloji,4052.04
Samsung,UE65AU7000,65,1,EPATeknoloji,13316.04
LG,NanoCell,50,1,EGEMTEKNOLOJİAVM,10421.9
Philips,55PUS7805/62,55,1,MGSHALI,9456.04
Sony,KD-65X81J,65,1,dogubankbilisim,15695.04
Sunny,SN39DAL13/0216,39,1,enucuzunadresi,3045.54
Vestel,65U9600,65,1,Simport-Vestel-YOB,9023.8
Nordmende,NM32100,32,0,DijiSepet,2189.59
Toshiba,65UL2063DT,65,1,TVSHOOP,9640.35
Regal,32R604H,32,0,BUHARASANAL,2459.79
Vestel,50U9600,50,1,Simport-Vestel-YOB,7130.39
Samsung,QE49LS01T,49,1,TRUVAPLAYSTATION,13798.54
Telenova,75S4K8001/20,75,1,11pro,11750.3
Telenova,85S4K8001,85,1,11pro,23999.0
Saba,SB43250,43,1,arslangroup,3821.99
LG,OLED55A16LA,55,1,Tekno11,15632.04
Regal,42R654FC,42,1,BUHARASANAL,4148.54
Philips,43PFS5505/62,43,0,tvmarketim,4600.16
Samsung,UE70AU7100,70,1,EPATeknoloji,14474.04
Axen,AX50LEDJ405,50,1,fırsatdiyarım,5349.0
Dijitsu,43DS7700,43,1,teknolojist,3792.45
Onvo,OV43250,43,1,mustafahira,3665.63
Samsung,UE43AU8000,43,1,EPATeknoloji,7399.0
Vestel,65U9600,65,1,GizemDtm-VestelYOB,11579.04
Saba,SB42250,42,1,arslangroup,3576.99
TCL,55P725,55,1,Comfor,10699.0
Vestel,55UA9600,55,1,Simport-Vestel-YOB,7165.37
Samsung,QE65LS03A,65,1,TURKUAZANKARA,18740.3
Samsung,QE55QN90,55,1,next-time,19203.5
TCL,55P615,55,1,EPATeknoloji,7767.29
TCL,65C728,65,1,Comfor,17499.0
Samsung,UE32T5300,32,1,doguhan,4149.0
Nordmende,NM32F151,32,1,en-trend,2634.24
Dijitsu,43D7000,43,0,teknolojist,3458.0
Telenova,43NSK9001,43,1,11pro,4213.02
TCL,32S65A,32,1,EPATeknoloji,2942.29
Onvo,OV32150,32,1,incehesap,2421.55
Samsung,UE50AU7000,50,1,doguhan,8877.04
Next,YE-32020KT,32,0,DALOGLUDİGİTAL,2150.0
Sunny,SN32DAL13-TNR,32,1,SendeKaldı,2402.85
